beneficiary_id,first_name,last_name,gender,county,program,activity,sessions_attended,sessions_expected,participation_rate,completion_status,enrollment_date,reporting_period,status
BEN-001422,Ali,Musyoka,Male,Nairobi,Plus,Financial Literacy,6,9,66.7,Completed,2026-03-25,Q1 2026,completed
BEN-001423,Jerop,Koech,Female,Muranga,Plus,Financial Literacy,6,9,66.7,Completed,2025-08-07,Q3 2025,completed
BEN-001426,Kelvin,Kamau,Male,Mombasa,Plus,Life Skills,14,14,100.0,In Progress,2026-09-23,Q3 2026,active
BEN-001427,Stephen,Mutiso,Male,Kisumu,Plus,Financial Literacy,8,10,80.0,In Progress,2026-06-11,Q2 2026,active
BEN-001429,Kilonzo,Kiptoo,Male,Kiambu,Plus,Leadership,8,10,80.0,Completed,2025-11-06,Q4 2025,completed
BEN-001435,Wekesa,Cheruiyot,Male,Kiambu,Plus,Community Service,6,9,66.7,In Progress,2026-07-30,Q3 2026,active
BEN-001436,David,Mohamed,Male,Kisumu,Plus,Leadership,7,11,63.6,In Progress,2026-09-08,Q3 2026,active
BEN-001437,Onyango,Rotich,Male,Nairobi,Plus,Financial Literacy,7,12,58.3,Dropped,2025-11-29,Q4 2025,dropped_out
BEN-001438,Beatrice,Musyoka,Female,Kisumu,Plus,Leadership,5,9,55.6,Dropped,2025-10-24,Q4 2025,dropped_out
BEN-001442,Mutua,Musyoka,male,Kiambu,Plus,Financial Literacy,11,11,100.0,Completed,2025-11-30,Q4 2025,completed
BEN-001443,Korir,Njoroge,Male,Bungoma,Plus,Financial Literacy,11,12,91.7,Completed,2025-07-04,Q3 2025,completed
BEN-001444,Mohamed,Wafula,Male,Machakos,Plus,Financial Literacy,7,12,58.3,Completed,2025-10-25,Q4 2025,completed
BEN-001445,Cynthia,Ngugi,Female,Machakos,Plus,Health & Wellness,6,8,75.0,Completed,2026-03-26,Q1 2026,completed
BEN-001447,Peter,Ngugi,Male,Machakos,Plus,Health & Wellness,3,7,42.9,Dropped,2026-01-30,Q1 2026,dropped_out
BEN-001450,Francis,Katana,Male,Bungoma,Plus,Health & Wellness,7,10,70.0,In Progress,2026-03-27,Q1 2026,active
BEN-001451,Brian,Achieng,Male,Kiambu,Plus,Financial Literacy,8,9,88.9,Completed,2025-08-14,Q3 2025,completed
BEN-001452,Wanjiru,Matano,Female,Mombasa,Plus,Health & Wellness,5,6,83.3,Completed,2025-10-10,Q4 2025,completed
BEN-001454,Nyambura,Koech,Female,Kiambu,Plus,Life Skills,7,11,63.6,Completed,2025-02-18,Q1 2025,completed
BEN-001456,Timothy,Ochieng,Male,Kiambu,Plus,Financial Literacy,6,8,75.0,In Progress,2026-02-25,Q1 2026,active
BEN-001459,Brian,Kariuki,Male,Kiambu,Plus,Community Service,6,10,60.0,In Progress,2026-01-05,Q1 2026,active
BEN-001460,Akinyi,Nduta,Female,Kiambu,Plus,Life Skills,13,14,92.9,Completed,2026-04-24,Q2 2026,completed
BEN-001461,Amina,Wekesa,Female,Uasin Gishu,Plus,Financial Literacy,6,8,75.0,In Progress,2026-06-11,Q2 2026,active
BEN-001463,Abdi,Kiptoo,Male,Mombasa,Plus,Entrepreneurship,7,11,63.6,Dropped,2025-05-24,Q2 2025,dropped_out
BEN-001464,Vincent,Kiptoo,Male,NAIROBI,Plus,Mentorship,10,12,83.3,Completed,2025-09-04,Q3 2025,completed
BEN-001465,Joy,Rotich,Female,Meru,Plus,Leadership,10,12,83.3,Completed,2025-03-15,Q1 2025,completed
BEN-001467,Wanjiru,Muthoni,Female,Kisii,Plus,Financial Literacy,7,12,58.3,Completed,2025-03-18,Q1 2025,completed
BEN-001470,Akinyi,Katana,Female,kisii,Plus,Mentorship,14,20,70.0,In Progress,2026-03-24,Q1 2026,active
BEN-001471,Zawadi,Wekesa,Female,Nairobi,Plus,Life Skills,10,10,100.0,In Progress,2026-08-25,Q3 2026,active
BEN-001472,Achieng,Nduta,Female,Nyeri,Plus,Financial Literacy,8,12,66.7,Dropped,2025-11-30,Q4 2025,dropped_out
BEN-001473,Nkatha,Njenga,Female,Uasin Gishu,Plus,Life Skills,10,14,71.4,complete,2026-04-01,Q2 2026,completed
BEN-001475,Mumbi,Otieno,Female,Nairobi,Plus,Leadership,8,9,88.9,Completed,2026-05-21,Q2 2026,completed
BEN-001477,Esther,Mutua,female,Kajiado,Plus,Mentorship,19,20,95.0,In Progress,2026-07-24,Q3 2026,active
BEN-001478,Joy,Omondi,Female,Mombasa,Plus,Entrepreneurship,10,16,62.5,Dropped,2026-01-15,Q1 2026,dropped_out
BEN-001480,Francis,Kariuki,Male,Kisii,Plus,Health & Wellness,5,8,62.5,Completed,2025-03-22,Q1 2025,completed
BEN-001484,Naisula,Otieno,Female,Nairobi,Plus,Life Skills,10,11,90.9,Completed,2025-09-09,Q3 2025,completed
BEN-001486,Zawadi,Mwakio,Female,Kiambu,Plus,Life Skills,8,12,66.7,In Progress,2026-05-03,Q2 2026,active
BEN-001489,Kiptoo,Mutua,Male,Kilifi,Plus,Health & Wellness,5,6,83.3,In Progress,2026-07-04,Q3 2026,active
BEN-001491,Achieng,Wekesa,Female,Kajiado,Plus,Mentorship,10,17,58.8,Completed,2026-06-29,Q2 2026,completed
BEN-001493,Nkatha,Kamau,Female,Uasin Gishu,Plus,Health & Wellness,5,6,83.3,Completed,2025-09-15,Q3 2025,completed
BEN-001496,Simon,Matano,Male,Nakuru,Plus,Financial Literacy,7,12,58.3,COMPLETED,2025-03-03,Q1 2025,completed
BEN-001500,Sharon,Korir,Female,Nairobi,Plus,Leadership,9,12,75.0,In Progress,2026-08-12,Q3 2026,active
BEN-001502,Baraka,Njoroge,Male,Nairobi,Plus,Mentorship,11,12,91.7,In Progress,2026-04-09,Q2 2026,active
BEN-001506,Chebet,Njenga,Female,Kiambu,Plus,Financial Literacy,9,12,75.0,In Progress,2026-09-15,Q3 2026,active
BEN-001508,Jerop,Odhiambo,Female,Machakos,Plus,Life Skills,12,12,100.0,Completed,2025-11-10,Q4 2025,completed
BEN-001510,Otieno,Charo,Male,Nairobi,Plus,Entrepreneurship,4,11,36.4,Dropped,2026-03-19,Q1 2026,dropped_out
BEN-001513,Francis,Njenga,Male,Nakuru County,Plus,Health & Wellness,3,7,42.9,Dropped,2025-05-26,Q2 2025,dropped_out
BEN-001517,Odhiambo,Matano,Male,Kisumu,Plus,Life Skills,9,13,69.2,Completed,2025-10-11,Q4 2025,completed
BEN-001519,Purity,Mutiso,Female,Meru,Plus,Leadership,5,9,55.6,Dropped,2026-03-28,Q1 2026,dropped_out
BEN-001521,Rotich,Katana,Male,Kajiado,Plus,Life Skills,6,10,60.0,In Progress,2026-08-11,Q3 2026,active
BEN-001522,Anyango,Kamau,Female,Meru,Plus,Leadership,12,12,100.0,Completed,2025-05-26,Q2 2025,completed
BEN-001523,Wekesa,Kiptoo,Male,Kilifi County,Plus,Community Service,4,6,66.7,Completed,2026-01-07,Q1 2026,completed
BEN-001526,Kiptoo,Mohamed,M,Kajiado,Plus,Entrepreneurship,9,11,81.8,Completed,2026-05-07,Q2 2026,completed
BEN-001528,Faith,Omondi,Female,Kakamega,Plus,Life Skills,5,10,50.0,Dropped,2026-06-26,Q2 2026,dropped_out
BEN-001530,Akinyi,Musyoka,Female,Nairobi,Plus,Entrepreneurship,9,10,90.0,Completed,2025-06-15,Q2 2025,completed
BEN-001531,Dennis,Kilonzo,Male,Muranga,Plus,Community Service,7,10,70.0,Completed,2025-04-06,Q2 2025,completed
BEN-001534,Emmanuel,Otieno,Male,Kiambu,Plus,Financial Literacy,5,8,62.5,In Progress,2026-08-19,Q3 2026,active
BEN-001536,Chepkoech,Musyoka,Female,Mombasa,Plus,Health & Wellness,4,7,57.1,Completed,2025-07-29,Q3 2025,completed
BEN-001537,Patrick,Owino,Male,Nairobi,Plus,Leadership,8,10,80.0,In Progress,2026-04-12,Q2 2026,active
BEN-001538,Mohamed,Odhiambo,Male,Kisumu,Plus,Health & Wellness,7,10,70.0,In Progress,2026-09-19,Q3 2026,active
BEN-001539,Cynthia,Rotich,Female,Uasin Gishu,Plus,Community Service,9,9,100.0,Completed,2025-12-05,Q4 2025,completed
BEN-001541,Diana,Njoroge,Female,Nairobi,Plus,Community Service,7,8,87.5,In Progress,2026-05-29,Q2 2026,active
BEN-001543,Daniel,Nduta,Male,Nairobi,Plus,Financial Literacy,7,9,77.8,COMPLETED,2025-11-16,Q4 2025,completed
BEN-001544,Nasieku,Maina,Female,Nairobi,Plus,Health & Wellness,8,8,100.0,In Progress,2026-04-18,Q2 2026,active
BEN-001545,Mercy,Bett,FEMALE,Kilifi,Plus,Mentorship,14,18,77.8,Completed,2025-08-10,Q3 2025,completed
BEN-001549,Ali,Muthoni,Male,Muranga,Plus,Health & Wellness,4,7,57.1,Completed,2025-09-02,Q3 2025,completed
BEN-001550,Nkatha,Mwangi,Female,Kajiado,Plus,Entrepreneurship,10,13,76.9,Completed,2026-03-29,Q1 2026,completed
BEN-001551,Otieno,Mwakio,Male,Meru,Plus,Entrepreneurship,8,12,66.7,Completed,2026-02-06,Q1 2026,completed
BEN-001552,Patrick,Mohamed,Male,Nairobi,Plus,Leadership,4,8,50.0,Completed,2025-10-11,Q4 2025,completed
BEN-001556,Cheruiyot,Nduta,Male,Kisumu,Plus,Leadership,5,8,62.5,In Progress,2026-05-17,Q2 2026,active
BEN-001559,Wanjiku,Kilonzo,Female,Kakamega,Plus,Leadership,9,10,90.0,complete,2025-07-23,Q3 2025,completed
BEN-001560,Emily,Kariuki,Female,Bungoma,Plus,Health & Wellness,4,6,66.7,In Progress,2026-04-24,Q2 2026,active
BEN-001561,Juma,Matano,Male,Nairobi,Plus,Leadership,8,8,100.0,Completed,2025-01-08,Q1 2025,completed
BEN-001562,John,Odhiambo,Male,Machakos,Plus,Entrepreneurship,9,14,64.3,Completed,2025-12-04,Q4 2025,completed
BEN-001563,Joseph,Kilonzo,Male,Uasin Gishu,Plus,Community Service,7,10,70.0,Completed,2025-09-29,Q3 2025,completed
BEN-001564,Isaac,Njenga,Male,Kisii,Plus,Life Skills,9,12,75.0,Completed,2025-05-14,Q2 2025,completed
BEN-001568,Mumbi,Mwangi,Female,Mombasa,Plus,Entrepreneurship,5,16,31.2,Completed,2025-10-22,Q4 2025,completed
BEN-001570,Samuel,Charo,Male,Nyeri,Plus,Financial Literacy,5,8,62.5,Completed,2025-05-27,Q2 2025,completed
BEN-001571,Stephen,Njenga,Male,Machakos,Plus,Leadership,8,9,88.9,In Progress,2026-01-26,Q1 2026,active
BEN-001575,Beatrice,Mutua,Female,Meru,Plus,Mentorship,7,17,41.2,Completed,2025-10-01,Q4 2025,completed
BEN-001580,Juma,Charo,Male,Kisii,Plus,Leadership,9,11,81.8,Completed,2026-03-10,Q1 2026,completed
BEN-001581,Grace,Nyambane,Female,Machakos,Plus,Leadership,7,9,77.8,Completed,2025-02-20,Q1 2025,completed
BEN-001583,Chebet,Kamau,Female,Kiambu,Plus,Financial Literacy,7,9,77.8,complete,2025-04-18,Q2 2025,completed
BEN-001585,Rotich,Odhiambo,Male,Kakamega,Plus,Mentorship,13,18,72.2,Completed,2025-11-08,Q4 2025,completed
BEN-001586,Kamau,Musyoka,Male,Machakos,Plus,Financial Literacy,5,12,41.7,Dropped,2025-05-18,Q2 2025,dropped_out
BEN-001589,Vincent,Barasa,Male,Kiambu,Plus,Mentorship,7,13,53.8,Completed,2025-09-04,Q3 2025,completed
BEN-001590,Juma,Omondi,Male,Muranga County,Plus,Entrepreneurship,6,14,42.9,Dropped,2025-01-11,Q1 2025,dropped_out
BEN-001593,Victor,Mohamed,Male,Muranga,Plus,Life Skills,11,14,78.6,Completed,2025-08-11,Q3 2025,completed
BEN-001594,Neema,Mbogo,Female,Kiambu,Plus,Financial Literacy,12,12,100.0,Completed,2025-09-23,Q3 2025,completed
BEN-001595,David,Muthoni,Male,Nyeri,Plus,Entrepreneurship,8,12,66.7,Completed,2025-08-26,Q3 2025,completed
BEN-001596,Abdi,Wafula,Male,Kiambu,Plus,Entrepreneurship,13,16,81.2,Completed,2026-02-06,Q1 2026,completed
BEN-001597,Jerop,Kariuki,Female,Nyeri,Plus,Mentorship,15,15,100.0,Completed,2025-07-20,Q3 2025,completed
BEN-001598,John,Juma,Male,Muranga,Plus,Mentorship,11,13,84.6,In Progress,2026-03-10,Q1 2026,active
BEN-001602,Halima,Wekesa,Female,Nakuru,Plus,Community Service,8,9,88.9,In Progress,2026-09-11,Q3 2026,active
BEN-001604,Peter,Hassan,Male,Muranga,Plus,Leadership,5,8,62.5,In Progress,2026-08-13,Q3 2026,active
BEN-001607,Amina,Gitau,Female,Kisumu,Plus,Leadership,5,11,45.5,Dropped,2026-06-04,Q2 2026,dropped_out
BEN-001608,Juma,Rotich,Male,Meru,Plus,Financial Literacy,6,8,75.0,Completed,2026-04-11,Q2 2026,completed
BEN-001609,Esther,Wanjiku,Female,Kiambu,Plus,Health & Wellness,4,6,66.7,Completed,2025-02-08,Q1 2025,completed
BEN-001613,Kelvin,Kimani,Male,Nairobi,Plus,Entrepreneurship,6,10,60.0,Dropped,2026-05-16,Q2 2026,dropped_out
BEN-001616,Otieno,Juma,Male,Nairobi,Plus,Community Service,7,9,77.8,In Progress,2026-06-08,Q2 2026,active
BEN-001617,Timothy,Ochieng,MALE,Mombasa,Plus,Health & Wellness,6,9,66.7,Completed,2025-09-22,Q3 2025,completed
BEN-001619,Samuel,Korir,Male,Kiambu,Plus,Mentorship,12,19,63.2,Completed,2025-07-26,Q3 2025,completed
BEN-001620,Cheruiyot,Kariuki,Male,Kilifi,Plus,Leadership,10,11,90.9,complete,2025-04-18,Q2 2025,completed
BEN-001621,Grace,Mutua,Female,Meru,Plus,Health & Wellness,4,7,57.1,In Progress,2026-08-29,Q3 2026,active
BEN-001625,Halima,Wekesa,Female,Machakos,Plus,Leadership,10,10,100.0,In Progress,2026-08-29,Q3 2026,active
BEN-001626,Anyango,Chebet,Female,Nairobi,Plus,Community Service,3,10,30.0,Completed,2025-05-12,Q2 2025,completed
BEN-001628,Kamau,Muthoni,Male,Nairobi,Plus,Entrepreneurship,9,14,64.3,Completed,2025-02-14,Q1 2025,completed
BEN-001637,Kendi,Mohamed,Female,Meru,Plus,Leadership,8,12,66.7,Completed,2025-07-14,Q3 2025,completed
BEN-001638,Caroline,Mwangi,FEMALE,Mombasa,Plus,Mentorship,15,17,88.2,In Progress,2026-05-09,Q2 2026,active
BEN-001640,Achieng,Hassan,Female,MURANGA,Plus,Leadership,10,12,83.3,Completed,2026-01-15,Q1 2026,completed
BEN-001641,Wangari,Mutiso,Female,Mombasa,Plus,Financial Literacy,5,12,41.7,In Progress,2026-09-12,Q3 2026,active
BEN-001643,Wekesa,Maina,Male,Bungoma,Plus,Leadership,6,11,54.5,Completed,2025-09-30,Q3 2025,completed
BEN-001648,Amina,Mohamed,Female,Nakuru,Plus,Mentorship,9,13,69.2,Completed,2025-09-29,Q3 2025,completed
BEN-001652,Halima,Musyoka,Female,Nairobi,Plus,Health & Wellness,8,9,88.9,Completed,2026-03-09,Q1 2026,completed
BEN-001653,Mumbi,Mbogo,Female,Nyeri,Plus,Mentorship,16,18,88.9,In Progress,2026-09-19,Q3 2026,active
BEN-001654,Nkatha,Njoroge,FEMALE,Bungoma,Plus,Life Skills,6,10,60.0,In Progress,2026-09-25,Q3 2026,active
BEN-001655,Wanjiku,Juma,Female,Kiambu,Plus,Leadership,5,9,55.6,Dropped,2026-06-27,Q2 2026,dropped_out
BEN-001656,Victor,Owino,m,Machakos,Plus,Life Skills,13,13,100.0,In Progress,2026-02-27,Q1 2026,active
BEN-001665,John,Kuria,Male,Muranga,Plus,Leadership,7,12,58.3,In Progress,2026-07-01,Q3 2026,active
BEN-001666,Caroline,Charo,Female,Bungoma,Plus,Financial Literacy,4,8,50.0,Completed,2025-04-19,Q2 2025,completed
BEN-001667,David,Mbogo,Male,Kilifi,Plus,Life Skills,8,11,72.7,Completed,2025-08-24,Q3 2025,completed
BEN-001668,Victor,Ochieng,Male,Machakos,Plus,Life Skills,7,12,58.3,Completed,2026-04-25,Q2 2026,completed
BEN-001671,Nyambura,Owino,Female,Machakos,Plus,Entrepreneurship,10,16,62.5,Dropped,2025-04-24,Q2 2025,dropped_out
BEN-001672,Sharon,Kuria,Female,nairobi,Plus,Mentorship,15,17,88.2,In Progress,2026-08-11,Q3 2026,active
BEN-001676,Anyango,Chebet,Female,Kiambu,Plus,Financial Literacy,7,12,58.3,DROPPED,2025-03-16,Q1 2025,dropped_out
BEN-001679,Kagure,Ngugi,Female,Nakuru,Plus,Life Skills,11,11,100.0,In Progress,2026-07-18,Q3 2026,active
BEN-001680,Francis,Njenga,Male,Uasin Gishu,Plus,Entrepreneurship,13,14,92.9,Completed,2026-05-08,Q2 2026,completed
BEN-001682,Wekesa,Njenga,Male,Machakos,Plus,Financial Literacy,5,8,62.5,Dropped,2026-04-01,Q2 2026,dropped_out
BEN-001685,Joseph,Mohamed,Male,Muranga,Plus,Mentorship,9,14,64.3,In Progress,2026-08-26,Q3 2026,active
BEN-001686,Brenda,Baya,Female,Kilifi,Plus,Health & Wellness,7,10,70.0,Completed,2025-07-22,Q3 2025,completed
BEN-001691,Njeri,Muthoni,FEMALE,Meru,Plus,Financial Literacy,5,9,55.6,In Progress,2026-06-27,Q2 2026,active
BEN-001694,Cheruiyot,Kariuki,Male,NAIROBI,Plus,Leadership,8,10,80.0,In Progress,2026-01-03,Q1 2026,active
BEN-001695,Neema,Nyambane,Female,NAIROBI,Plus,Community Service,6,6,100.0,Completed,2025-12-07,Q4 2025,completed
BEN-001699,Atieno,Wanjiku,Female,Uasin Gishu,Plus,Mentorship,9,12,75.0,Completed,2025-06-07,Q2 2025,completed
BEN-001702,Peter,Nduta,Male,Mombasa,Plus,Leadership,9,10,90.0,Completed,2025-09-16,Q3 2025,completed
BEN-001703,Cherono,Achieng,Female,Meru,Plus,Leadership,3,8,37.5,complete,2025-05-30,Q2 2025,completed
BEN-001704,Cynthia,Chebet,Female,Kiambu County,Plus,Health & Wellness,5,6,83.3,In Progress,2026-04-20,Q2 2026,active
BEN-001705,Anthony,Njenga,Male,Nairobi,Plus,Leadership,4,9,44.4,In Progress,2026-08-04,Q3 2026,active
BEN-001706,Omondi,Owino,Male,Kilifi,Plus,Financial Literacy,8,12,66.7,Completed,2025-10-09,Q4 2025,completed
BEN-001707,Kendi,Kuria,Female,Machakos,Plus,Life Skills,11,12,91.7,Completed,2025-10-19,Q4 2025,completed
BEN-001708,Boniface,Cheruiyot,Male,Kajiado,Plus,Entrepreneurship,9,11,81.8,In Progress,2026-04-05,Q2 2026,active
BEN-001712,Collins,Nyambane,Male,Kisumu,Plus,Health & Wellness,5,8,62.5,In Progress,2026-05-03,Q2 2026,active
BEN-001713,Neema,Maina,f,Nairobi,Plus,Mentorship,7,12,58.3,Dropped,2025-06-07,Q2 2025,dropped_out
BEN-001714,Gathoni,Owino,Female,Kajiado,Plus,Mentorship,18,20,90.0,In Progress,2026-08-14,Q3 2026,active
BEN-001716,Anyango,Muthoni,Female,Uasin Gishu,Plus,Health & Wellness,5,8,62.5,In Progress,2026-09-28,Q3 2026,active
BEN-001722,Cherono,Kamau,Female,Nyeri,Plus,Financial Literacy,4,8,50.0,Dropped,2025-11-29,Q4 2025,dropped_out
BEN-001723,Wanjiku,Hassan,Female,Nairobi,Plus,Community Service,7,7,100.0,Completed,2025-11-03,Q4 2025,completed
BEN-001725,Achieng,Musyoka,F,Kiambu,Plus,Life Skills,11,11,100.0,In Progress,2026-09-06,Q3 2026,active
BEN-001730,Zawadi,Kiptoo,Female,Meru,Plus,Leadership,7,12,58.3,Completed,2025-04-19,Q2 2025,completed
BEN-001731,Esther,Juma,Female,Nakuru,Plus,Financial Literacy,7,8,87.5,In Progress,2026-08-05,Q3 2026,active
BEN-001736,Juma,Hassan,Male,Muranga,Plus,Financial Literacy,7,9,77.8,Completed,2025-08-13,Q3 2025,completed
BEN-001737,David,Wanjiku,Male,Mombasa,Plus,Life Skills,10,14,71.4,In Progress,2026-05-25,Q2 2026,active
BEN-001738,Purity,Mwakio,Female,Nairobi,Plus,Entrepreneurship,11,12,91.7,In Progress,2026-04-15,Q2 2026,active
BEN-001739,Omondi,Kilonzo,Male,Nairobi,Plus,Mentorship,18,18,100.0,In Progress,2026-07-07,Q3 2026,active
BEN-001744,Nkatha,Muthoni,Female,Mombasa,Plus,Financial Literacy,4,8,50.0,In Progress,2026-09-21,Q3 2026,active
BEN-001745,David,Achieng,MALE,Kilifi,Plus,Life Skills,7,10,70.0,In Progress,2026-08-07,Q3 2026,active
BEN-001746,Awuor,Abdi,Female,KAKAMEGA,Plus,Health & Wellness,7,9,77.8,Completed,2026-03-26,Q1 2026,completed
BEN-001749,Chebet,Juma,Female,Nyeri,Plus,Leadership,5,9,55.6,Completed,2025-10-06,Q4 2025,completed
BEN-001755,Kipchoge,Baya,Male,Nyeri,Plus,Community Service,7,9,77.8,In Progress,2026-09-24,Q3 2026,active
BEN-001756,Onyango,Otieno,Male,Meru,Plus,Community Service,4,7,57.1,Completed,2025-07-15,Q3 2025,completed
BEN-001757,Musyoka,Abdi,Male,Kisumu,Plus,Financial Literacy,4,9,44.4,Dropped,2025-11-20,Q4 2025,dropped_out
BEN-001759,Timothy,Njoroge,Male,Kisii,Plus,Mentorship,10,14,71.4,In Progress,2026-09-17,Q3 2026,active
BEN-001760,Mumbi,Mutiso,Female,Mombasa,Plus,Entrepreneurship,12,12,100.0,In Progress,2026-06-21,Q2 2026,active
BEN-001764,Sharon,Maina,Female,Meru,Plus,Entrepreneurship,9,14,64.3,In Progress,2026-08-01,Q3 2026,active
BEN-001765,Baraka,Charo,Male,BUNGOMA,Plus,Health & Wellness,7,8,87.5,In Progress,2026-09-20,Q3 2026,active
BEN-001766,Diana,Kilonzo,Female,Mombasa,Plus,Mentorship,15,17,88.2,COMPLETED,2025-11-02,Q4 2025,completed
BEN-001767,Joy,Juma,Female,Nyeri,Plus,Health & Wellness,6,6,100.0,In Progress,2026-08-19,Q3 2026,active
BEN-001770,Nasieku,Otieno,Female,Nairobi,Plus,Health & Wellness,7,8,87.5,Completed,2025-03-18,Q1 2025,completed
BEN-001772,Stephen,Rotich,Male,kisumu,Plus,Community Service,4,7,57.1,complete,2026-01-10,Q1 2026,completed
BEN-001779,Patrick,Achieng,Male,Nakuru,Plus,Entrepreneurship,9,11,81.8,Completed,2025-04-17,Q2 2025,completed
BEN-001781,Chepkoech,Odhiambo,Female,Kiambu,Plus,Leadership,8,8,100.0,Completed,2026-03-07,Q1 2026,completed
BEN-001782,Daniel,Mutiso,Male,Kisii,Plus,Entrepreneurship,12,12,100.0,In Progress,2026-09-21,Q3 2026,active
BEN-001786,Chepkoech,Bett,Female,MOMBASA,Plus,Life Skills,9,10,90.0,In Progress,2026-04-13,Q2 2026,active
BEN-001787,Nicholas,Wanjiku,Male,Kisumu,Plus,Life Skills,8,10,80.0,In Progress,2026-09-21,Q3 2026,active
BEN-001788,Mutua,Ochieng,Male,Nairobi,Plus,Community Service,6,8,75.0,Completed,2026-04-20,Q2 2026,completed
BEN-001791,Wangari,Wekesa,Female,Meru,Plus,Mentorship,13,15,86.7,In Progress,2026-09-28,Q3 2026,active
BEN-001792,Isaac,Wekesa,Male,Kajiado,Plus,Mentorship,14,17,82.4,In Progress,2026-07-27,Q3 2026,active
BEN-001797,Musyoka,Mohamed,Male,Uasin Gishu,Plus,Entrepreneurship,16,16,100.0,Completed,2026-02-04,Q1 2026,completed
BEN-001802,Vincent,Wekesa,Male,Kilifi,Plus,Mentorship,9,15,60.0,Dropped,2026-03-28,Q1 2026,dropped_out
BEN-001805,Naisula,Mwakio,Female,Nairobi,Plus,Entrepreneurship,8,16,50.0,In Progress,2026-01-05,Q1 2026,active
BEN-001806,Wangari,Bett,Female,Kiambu,Plus,Leadership,9,12,75.0,In Progress,2026-08-04,Q3 2026,active
BEN-001808,Nkatha,Onyango,Female,Kiambu,Plus,Life Skills,9,10,90.0,In Progress,2026-09-08,Q3 2026,active
BEN-001810,Anyango,Mwakio,Female,Uasin Gishu,Plus,Entrepreneurship,10,10,100.0,In Progress,2026-04-28,Q2 2026,active
BEN-001811,Kagure,Rotich,Female,Mombasa,Plus,Leadership,8,11,72.7,In Progress,2026-01-01,Q1 2026,active
BEN-001812,Nicholas,Wafula,Male,Kilifi,Plus,Community Service,3,7,42.9,In Progress,2026-05-05,Q2 2026,active
BEN-001813,Awuor,Maina,Female,Nairobi,Plus,Community Service,7,10,70.0,Completed,2025-01-08,Q1 2025,completed
BEN-001814,Zawadi,Korir,Female,Kilifi,Plus,Life Skills,9,12,75.0,In Progress,2026-08-30,Q3 2026,active
BEN-001817,Faith,Charo,female,Nairobi,Plus,Mentorship,20,20,100.0,In Progress,2026-07-22,Q3 2026,active
BEN-001822,Samuel,Charo,Male,Meru,Plus,Leadership,8,9,88.9,In Progress,2026-08-12,Q3 2026,active
BEN-001824,Patrick,Barasa,Male,mombasa,Plus,Health & Wellness,4,10,40.0,Dropped,2026-03-11,Q1 2026,dropped_out
BEN-001825,Faith,Musyoka,Female,Nairobi,Plus,Entrepreneurship,15,15,100.0,In Progress,2026-06-25,Q2 2026,active
BEN-001827,Neema,Korir,Female,meru,Plus,Community Service,8,9,88.9,In Progress,2026-08-05,Q3 2026,active
BEN-001829,Collins,Njoroge,m,kilifi,Plus,Financial Literacy,11,11,100.0,Completed,2026-03-09,Q1 2026,completed
BEN-001833,Beatrice,Cheruiyot,Female,Nairobi,Plus,Financial Literacy,5,8,62.5,In Progress,2026-08-12,Q3 2026,active
BEN-001834,Vincent,Musyoka,Male,UASIN_GISHU,Plus,Health & Wellness,5,6,83.3,In Progress,2026-02-20,Q1 2026,active
BEN-001835,Brenda,Mbogo,F,NAIROBI,Plus,Health & Wellness,5,6,83.3,Completed,2025-03-06,Q1 2025,completed
BEN-001836,Grace,Katana,Female,Uasin Gishu,Plus,Mentorship,9,18,50.0,In Progress,2026-07-29,Q3 2026,active
BEN-001839,Njeri,Abdi,Female,Kiambu,Plus,Community Service,5,7,71.4,Completed,2026-02-01,Q1 2026,completed
BEN-001840,Wangari,Otieno,FEMALE,Kisii,Plus,Entrepreneurship,9,14,64.3,In Progress,2026-05-14,Q2 2026,active
BEN-001843,Nyambura,Ochieng,Female,uasin gishu,Plus,Financial Literacy,8,9,88.9,Completed,2026-01-26,Q1 2026,completed
BEN-001847,Wekesa,Barasa,Male,Kajiado,Plus,Leadership,7,12,58.3,Completed,2025-04-23,Q2 2025,completed
BEN-001849,Nkatha,Wanjiku,Female,Nairobi,Plus,Mentorship,10,17,58.8,In Progress,2026-08-17,Q3 2026,active
BEN-001850,Timothy,Njenga,Male,Bungoma,Plus,Mentorship,10,17,58.8,DROPPED,2025-08-05,Q3 2025,dropped_out
BEN-001852,Emily,Mohamed,Female,KILIFI,Plus,Life Skills,7,12,58.3,Completed,2025-11-07,Q4 2025,completed
BEN-001854,Rotich,Abdi,Male,Meru,Plus,Health & Wellness,5,9,55.6,Dropped,2025-08-10,Q3 2025,dropped_out
BEN-001856,Vincent,Chebet,Male,Kajiado,Plus,Community Service,10,10,100.0,Completed,2025-04-21,Q2 2025,completed
BEN-001857,Wanjiku,Korir,Female,Mombasa,Plus,Health & Wellness,7,10,70.0,Completed,2025-09-21,Q3 2025,completed
BEN-001860,Neema,Achieng,Female,Kisumu,Plus,Mentorship,4,14,28.6,Dropped,2026-03-17,Q1 2026,dropped_out
BEN-001864,Grace,Musyoka,Female,Kiambu,Plus,Life Skills,8,10,80.0,Completed,2025-05-23,Q2 2025,completed
BEN-001865,Atieno,Charo,Female,Mombasa,Plus,Life Skills,7,11,63.6,Completed,2025-01-05,Q1 2025,completed
